"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"121","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/RSBZKM61XB",FALSE,1,NA,2020-09-02 19:57:29,TRUE,NA,"1301247897439215617",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-02 13:57:29
"122","RT @amilcarmontejo: Caminar o andar en bici 20 minutos diariamente estimulan hormonas de la felicidad*, ayudando a una mejor calidad de vid…",FALSE,0,NA,2020-09-02 19:55:47,FALSE,NA,"1301247468177420289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pablinsky791",56,TRUE,FALSE,NA,NA,2020-09-02 13:55:47
"123","RT @amilcarmontejo: Caminar o andar en bici 20 minutos diariamente estimulan hormonas de la felicidad*, ayudando a una mejor calidad de vid…",FALSE,0,NA,2020-09-02 19:47:16,FALSE,NA,"1301245325269708801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EtaEscuela",56,TRUE,FALSE,NA,NA,2020-09-02 13:47:16
"124","RT @amilcarmontejo: Carro averiado en Viaducto Lomas del Norte zona 17.

#PMT @RegenciaNorte realiza acciones para habilitar paso.

#PMTGua…",FALSE,0,NA,2020-09-02 19:24:05,FALSE,NA,"1301239493756936192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RegenciaNorte",2,TRUE,FALSE,NA,NA,2020-09-02 13:24:05
"125","RT @amilcarmontejo: Carro averiado en Viaducto Lomas del Norte zona 17.

#PMT @RegenciaNorte realiza acciones para habilitar paso.

#PMTGua…",FALSE,0,NA,2020-09-02 19:22:27,FALSE,NA,"1301239080819339264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Edithcastillo97",2,TRUE,FALSE,NA,NA,2020-09-02 13:22:27
"126","Carro averiado en Viaducto Lomas del Norte zona 17.

#PMT @RegenciaNorte realiza acciones para habilitar paso.… https://t.co/hC7LDGHjR2",FALSE,16,NA,2020-09-02 19:21:55,TRUE,NA,"1301238948627439616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amilcarmontejo",2,FALSE,FALSE,NA,NA,2020-09-02 13:21:55
"127","@soy_502 El 90% de motoristas son unos imprudentes animales, que no solo nunca respetan el #TraficoGt aparte de eso… https://t.co/pLZD2CM539",FALSE,11,"soy_502",2020-09-02 19:15:29,TRUE,"1301232795281436673","1301237330066448392","1687984068","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leonel10gc",1,FALSE,FALSE,NA,NA,2020-09-02 13:15:29
"128","RT @amilcarmontejo: Caminar o andar en bici 20 minutos diariamente estimulan hormonas de la felicidad*, ayudando a una mejor calidad de vid…",FALSE,0,NA,2020-09-02 18:41:09,FALSE,NA,"1301228686671310849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SHerreraDeLeon",56,TRUE,FALSE,NA,NA,2020-09-02 12:41:09
"129","RT @amilcarmontejo: Caminar o andar en bici 20 minutos diariamente estimulan hormonas de la felicidad*, ayudando a una mejor calidad de vid…",FALSE,0,NA,2020-09-02 18:28:11,FALSE,NA,"1301225425457360896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gestionesadycom",56,TRUE,FALSE,NA,NA,2020-09-02 12:28:11
"130","@amilcarmontejo este trailer y el verde que se ve adelante, van manejando de forma imprudente sobre periférico nort… https://t.co/JFltBnsy75",FALSE,1,"amilcarmontejo",2020-09-02 18:06:48,TRUE,NA,"1301220044995727361","372126670","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LaGripona2020",0,FALSE,FALSE,NA,NA,2020-09-02 12:06:48
